Datum;Tmin;Tmit;Tmax;Sges;Rges;Tbod;RFmin;RFmit;RFmax;Wmit;WBmax
01.01.2017;-3,1;-0,5;1,8;4,5;0,8;-4,9;72;82,9;97;12;33
02.01.2017;0,4;1,6;4,3;3,3;;-1,1;86;96,5;100;9;24
03.01.2017;0,8;2,3;3,9;0,2;;-1,4;83;92,7;100;15;41
04.01.2017;1,9;4,1;6,3;2,5;;-0,9;71;90,1;100;16;56
05.01.2017;-3,8;0,3;2,3;7;;-7,9;58;76,8;93;9;33
06.01.2017;-4,8;-3,1;-0,5;7,2;;-8,5;63;73,2;81;9;24
07.01.2017;-4;-2;0,9;0;;-5,1;70;85;100;11;31
08.01.2017;0,9;2,7;4,1;0;;0,3;100;100;100;5;15
09.01.2017;2,4;3,5;5;0,2;;1,6;87;96,1;100;11;33
10.01.2017;2,3;3,5;5;0;0,8;1,5;97;98,7;100;12;43
11.01.2017;3;5,3;8,1;0,1;3;2,5;75;90,2;100;16;54
12.01.2017;3,2;5;7;1,7;13,2;2,5;74;83;98;17;44
13.01.2017;0,6;2,4;4,9;1,6;2,8;-0,1;82;93,1;100;19;63
14.01.2017;0,4;2,2;4,3;2,4;1,6;-1;77;88,2;99;15;44
15.01.2017;-0,5;1;2,1;1,9;0,7;-3;91;95,5;99;9;28
16.01.2017;-3;0,5;2,7;3,3;0;-6,4;71;87,3;99;8;24
17.01.2017;-3,8;-2;0,7;7,5;0;-7;75;84,5;93;8;28
18.01.2017;-4,8;-2,2;0,8;6,4;0;-8,2;69;84,2;96;6;20
19.01.2017;-4,2;-0,8;4,7;8,1;0;-7,8;42;72,2;90;5;17
20.01.2017;-3,5;-0,3;3,9;7,6;0;-7,2;59;75,8;92;4;17
21.01.2017;-2,4;0,7;5,7;8,2;0;-6,1;51;75,7;94;6;24
22.01.2017;-3,2;-1;2,7;7,8;0;-7,8;54;71,8;90;7;22
23.01.2017;-4,8;-1,7;0,1;0;0;-8,5;89;91,7;98;5;17
24.01.2017;-0,9;0,5;2,1;0;0;-1,2;80;91,6;99;6;19
